dcterms_spatial,dcterms_abstract,dc_subject,fedora_writable,dc_contributor,dc_identifier,fedora_lastModifiedBy,dcterms_type,dc_rights,dcterms_temporal,dc_description,ldp_contains,fedora_created,dc_format,dc_title,fedora_createdBy,dcterms_created,dc_publisher,fedora_hasParent,fedora_lastModified,files,dc_creator,dc_language
Texas|United States|College Station (Tex.),Photo of the Hensel Gardens in front of the Administration Building facing to the North.,Texas A & M University--History-20th century|Landscape architecture|Flower gardens|Hensel Gardens|Depressions--1929--Texas|College Station (Tex.)--History--20th century,false,Texas A & M University. Cushing Memorial Library,Admin_Garden_from_the_East,fedoraAdmin,StillImage|Photographs,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Fritz Hensel '07 Collection",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/10/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/10/orderProxies,2020-09-23T01:36:00.710000+00:00,Reformatted digital,Hensel Gardens,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:36:00.710000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/10/pages/page_0/files/atimeofresolve_0024_2019-03.jpg,,
United States|College Station (Tex.)|Texas,"Photo of the second phase of the Chemistry Building, which features the main entrance to the building.",Depressions--1929--Texas|Historic buildings|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century,false,Texas A & M University. Cushing Memorial Library,Chemistry_Building_12_17E,fedoraAdmin,Photographs|StillImage,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"Inscription on item: Chemistry Building Photo #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/23/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/23/pages,2020-09-23T01:39:09.568000+00:00,Reformatted digital,Chemistry Building,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:39:09.568000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/23/pages/page_0/files/atimeofresolve_0036_2019-03.jpg,,
Texas|United States|College Station (Tex.),Drawing of the floor plan for the Key Demonstration Farm house developed by the Texas Extension Service.,College Station (Tex.)--History--20th century|Demonstration Houses|Texas A & M University--History-20th century|Model houses|Architectural drawings|Depressions--1929--Texas,false,Texas A & M University. Cushing Memorial Library,Key Demonstration Farm Home Langford B,fedoraAdmin,StillImage|Floor plans|Architectural drawings,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/73/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/73/pages,2020-09-23T01:37:10.140000+00:00,Reformatted digital,Floor Plan of Key Demonstration Farm House,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:37:10.140000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/73/pages/page_0/files/atimeofresolve_0083_2019-03.jpg,"Curtis, W. M.",
Texas|United States|College Station (Tex.),Group photo of the players and coaches on the 1939 team that won the Southwest Conference and National Championships,"College Station (Tex.)--History--20th century|Texas A & M University--History-20th century|Portraits, Group|Southwest Conference Champions|National Champions|Undefeated|Football players|Depressions--1929--Texas|Group portraits",false,Texas A & M University. Cushing Memorial Library,Southwest_Conference_Champions_1939_207-10-H-6_6-12,fedoraAdmin,StillImage|Photographs,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; E.J. Kyle Collection",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/63/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/63/orderProxies,2020-09-23T01:38:43.755000+00:00,Reformatted digital,1939 Southwest Conference Champions - Football,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:38:43.755000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/63/pages/page_0/files/atimeofresolve_0076_2019-03.jpg,,
Texas|United States|College Station (Tex.),Photo of the Colonnade on the East side of the Administration Building.,Depressions--1929--Texas|College Station (Tex.)--History--20th century|Architectural elements|Columns|Texas A & M University--History-20th century|Colonnades|Architecture,false,Texas A & M University. Cushing Memorial Library,Admin_Building_Front_Portico_13_4,fedoraAdmin,StillImage|Photographs,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"Inscription on item: Architectural Detail Photo #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/7/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/7/orderProxies,2020-09-23T01:37:08.876000+00:00,Reformatted digital,Colonnade of Administration Building,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:37:08.876000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/7/pages/page_0/files/atimeofresolve_0021_2019-03.jpg,,
United States|College Station (Tex.)|Texas,Photo of the leather covered doors to the lecture hall in the Chemistry Building.,Depressions--1929--Texas|Historic buildings|College Station (Tex.)--History--20th century|Architectural elements|Architecture--Details|Texas A & M University--History-20th century,false,Texas A & M University. Cushing Memorial Library,Chemistry_Building_Leather-Doors_17B,fedoraAdmin,Photographs|StillImage,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"Inscription on item: Architectural Detail Photo #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/26/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/26/pages,2020-09-23T01:36:40.954000+00:00,Reformatted digital,Leather covered doors in the Chemistry Building,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:36:40.954000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/26/pages/page_0/files/atimeofresolve_0039_2019-03.jpg,,
Texas|United States|College Station (Tex.),Photo of the on-campus project houses.,Historic buildings|Depressions--1929--Texas|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century|Cooperative housing,false,Texas A & M University. Cushing Memorial Library,Close-Group-Shout_of_Project_Houses_on_Campus_2_1-25,fedoraAdmin,StillImage|Photographs,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"Inscription on item: Project Houses Photo #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/28/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/28/orderProxies,2020-09-23T01:36:40.940000+00:00,Reformatted digital,On-campus Project Houses,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:36:40.940000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/28/pages/page_0/files/atimeofresolve_0041_2019-03.jpg,,
Texas|United States|College Station (Tex.),Drawing showing the details of the main lobby in the Chemistry Building.,Architectural drawings|Depressions--1929--Texas|Design drawings|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century,false,Texas A & M University. Cushing Memorial Library,,fedoraAdmin,Architectural drawings|StillImage,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929|Nineteen thirties,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/105/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/105/orderProxies,2020-09-23T01:36:07.162000+00:00,Reformatted digital,Drawing Showing the Details of the Main Lobby in the Chemistry Building,fedoraAdmin,1932,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:36:07.162000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/105/pages/page_0/files/atimeofresolve_0109_2019-03.jpg,"Vosper, Samuel Charles Phelps",
Texas|United States|College Station (Tex.),Drawing showing the detail elevation of the front wall and main entrance to the Cushing Library,Depressions--1929--Texas|Design drawings|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century|Architectural drawings,false,Texas A & M University. Cushing Memorial Library,,fedoraAdmin,Architectural drawings|StillImage,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/108/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/108/orderProxies,2020-09-23T01:38:41.488000+00:00,Reformatted digital,Drawing Showing the Detail Elevation of Front Wall and Main Entrance of the Cushing Library,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:38:41.488000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/108/pages/page_0/files/atimeofresolve_0112_2019-03.jpg,,
Texas|United States|College Station (Tex.),Campus plan mapping out the Agricultural and Mechanical College of Texas.,Depressions--1929--Texas|Maps|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century|Campus plan,false,Texas A & M University. Cushing Memorial Library,TAMU_G_4034_C582T4_1933_C5 Crop,fedoraAdmin,StillImage|Photographs,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929|Nineteen thirties,"this item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Call # G 4034 C58:2T4 1933 C5",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/66/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/66/pages,2020-09-23T01:36:00.812000+00:00,Reformatted digital,1933 Campus Plan,fedoraAdmin,1933-02-10,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:36:00.812000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/66/pages/page_0/files/atimeofresolve_0079_2019-03.jpg,,
Texas|United States|College Station (Tex.),Drawing showing the details of the elevation of the southwest corner and the elevation section of the stack room wall of the Cushing Library.,Texas A & M University--History-20th century|Architectural drawings|Depressions--1929--Texas|Design drawings|College Station (Tex.)--History--20th century,false,Texas A & M University. Cushing Memorial Library,,fedoraAdmin,StillImage|Architectural drawings,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/109/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/109/orderProxies,2020-09-23T01:38:12.533000+00:00,Reformatted digital,Drawing Showing the Details of the Elevation of the Southwest Corner and the Elevation Section of Stack Room Wall of the Cushing Library,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:38:12.533000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/109/pages/page_0/files/atimeofresolve_0113_2019-03.jpg,,
United States|College Station (Tex.)|Texas,Photo of men working on installing the cast stone base of the flag pole in front of the Administration Building.,Construction|Depressions--1929--Texas|Flag pole|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century|Flagpoles,false,Texas A & M University. Cushing Memorial Library,Workers_and_Pedestal,fedoraAdmin,StillImage,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Fritz Hensel '07 Collection",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/67/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/67/pages,2020-09-23T01:37:00.205000+00:00,Reformatted digital,Instillation of Flagpole Base,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:37:00.205000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/67/pages/page_0/files/atimeofresolve_0080_2019-03.jpg,,
Texas|United States|College Station (Tex.),Photo of the construction of the Mess Hall looking from the southwest.,Historic buildings|Duncan Dining Hall|Depressions--1929--Texas|College Station (Tex.)--History--20th century|Building|Texas A & M University--History-20th century,false,Texas A & M University. Cushing Memorial Library,Dormitory_Area_No61_Folder26-50,fedoraAdmin,StillImage|Photographs,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929|Nineteen thirties,"Inscription on item: Dormitories Photos #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/33/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/33/pages,2020-09-23T01:36:45.229000+00:00,Reformatted digital,Mess Hall Construction,fedoraAdmin,1939-09-15,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:36:45.229000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/33/pages/page_0/files/atimeofresolve_0046_2019-03.jpg,,
Texas|United States|College Station (Tex.),Photo of United States President Franklin Delano Roosevelt and Texas A&M President Thomas Otto Walton in a car after arriving at Kyle Field during President Roosevelt's visit to the college.,"Depressions--1929--Texas|FDR|Kyle Field|Roosevelt, Franklin D., Jr. (Franklin Delano), 1914-1988|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century|College presidents|Walton, Thomas Otto, 1883-1961|Presidents",false,Aggieland Studios|Texas A & M University. Cushing Memorial Library,PresidentialVisit_FDR_Walton_1937_17C,fedoraAdmin,Photographs|StillImage,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929|Nineteen thirties,"Inscription on item: Presidential Visits Photos #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #3",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/36/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/36/pages,2020-09-23T01:37:50.534000+00:00,Reformatted digital,Franklin Delano Roosevelt and Thomas Otto Walton,fedoraAdmin,1937-05-11,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:37:50.534000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/36/pages/page_0/files/atimeofresolve_0069_2019-03.jpg,,
United States|College Station (Tex.)|Texas,A detailed drawing of the bronze doors that are on the east side of the Administration Building.,Architectural drawings|Depressions--1929--Texas|Design drawings|College Station (Tex.)--History--20th century|Texas A & M University--History-20th century,false,Texas A & M University. Cushing Memorial Library,Panorama,fedoraAdmin,StillImage|Architectural drawings,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Depressions--1929,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/76/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/76/pages,2020-09-23T01:39:31.018000+00:00,Reformatted digital,F. S. Details for Bronze East Entrance Doors on the Administration Building,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:39:31.018000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/76/pages/page_0/files/atimeofresolve_0085_2019-03.jpg,"Vosper, Samuel Charles Phelps",
Texas|United States|College Station (Tex.),Photo of All-American Fullback Jarrin' John Kimbrough.,"College Station (Tex.)--History--20th century|1939 National Champions|Texas A & M University--History-20th century|Portraits|Southwest Conference Champions|Kimbrough, John|Football players|Depressions--1929--Texas",false,Texas A & M University. Cushing Memorial Library,John_Kimbrough_1941_WC,fedoraAdmin,StillImage|Photographs,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,,"Inscription on item: Kimbrough Bio Photo #; This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Remstar #2",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/49/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/49/orderProxies,2020-09-23T01:39:31.032000+00:00,Reformatted digital,John Kimbrough,fedoraAdmin,,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:39:31.032000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/49/pages/page_0/files/atimeofresolve_0061_2019-03.jpg,,
College Station (Tex.)|Texas|United States,Photo of the 1966 Wool Judging Team in front of the stairs in the Animal Industries Building.,"Depressions--1929--Texas|Group portraits|College Station (Tex.)--History--20th century|Architectural elements|Architecture--Details|Texas A & M University--History-20th century|Portraits, Group",false,Texas A & M University. Cushing Memorial Library,,fedoraAdmin,Photographs|StillImage,In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,Nineteen sixties,"This item was part of an exhibit,  ""Texas A&M during the Great Depression,"" shown in Cushing Memorial Library from August 31, 2018 through February 22, 2019.; Cushing Memorial Library and Archives; Graphic Services",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/50/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/50/pages,2020-09-23T01:35:43.580000+00:00,Reformatted digital,1966 Wool Judging Team,fedoraAdmin,1966,Texas A & M University. Libraries,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects,2020-09-23T01:35:43.580000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22_objects/50/pages/page_0/files/atimeofresolve_0062_2019-03.jpg,,
